latent_idx,model_a_norm,model_b_norm,relative_norm
347,0.75421196,0.82308227,0.5218318
348,0.9004878,0.8725611,0.49212468
349,0.40540463,0.14547245,0.26407424
350,1.1935219,1.1919945,0.4996799
351,0.90275526,0.95394063,0.513784
352,1.0012895,0.94249994,0.4848776
353,0.9987957,0.9239039,0.4805243
354,0.90908396,0.9682623,0.5157612
355,0.918849,0.8764208,0.48818335
356,2.033323,0.35488528,0.14859895
357,1.5921396,0.17121778,0.097097605
358,0.20626226,1.6097336,0.88641924
359,0.96964025,0.83310854,0.46213236
360,1.0105183,1.0819699,0.51707333
361,0.8304033,0.7489639,0.4742177
362,0.09801838,0.07244914,0.4250026
363,1.0586853,1.0715926,0.50302947
364,0.04603509,0.94975746,0.9537704
365,0.875181,0.9185205,0.512081
366,0.9709799,1.0294578,0.51461625
367,0.85135406,0.06926013,0.07523252
368,1.0009003,1.0562067,0.51344275
369,1.1987896,1.0939754,0.4771424
370,1.0838121,0.98259526,0.47550896
371,0.90040404,0.79865783,0.4700581
372,0.4946626,1.8424653,0.78834593
373,0.9782329,0.9458748,0.4915914
374,0.1601148,0.9133607,0.8508445
375,1.2872905,0.15827805,0.1094919
376,0.09681193,0.1430206,0.5963353
377,0.06196349,0.0833949,0.5737192
378,0.91848814,0.92942834,0.50296015
379,1.0605607,0.87013894,0.45068583
380,0.059409227,0.10330306,0.63488173
381,0.0956029,0.08292189,0.46448392
382,0.80914533,0.94766575,0.5394238
383,1.941141,0.2784632,0.12545624
384,0.858518,0.8006144,0.48255002
385,0.72091997,0.86379194,0.5450782
386,0.8825395,1.2111745,0.5784813
387,1.5253885,0.85216546,0.3584211
388,0.05929006,0.097362466,0.6215187
389,0.8308063,0.769218,0.48075396
390,0.25920156,0.1379222,0.34730282
391,0.8361087,0.929851,0.5265415
392,0.5095092,0.6186579,0.5483743
393,0.2064499,1.0756838,0.8389795
394,0.9965075,0.96044254,0.49078542
395,0.86683226,0.14261337,0.1412789
396,0.83594745,0.9068326,0.5203368
397,0.123688616,0.99606115,0.88953906
398,1.0324281,0.9276163,0.4732629
399,0.95879006,0.91088814,0.48718977
400,1.2202078,1.184613,0.49259925
401,0.7950502,0.8862577,0.527124
402,1.1818918,1.0853162,0.47870162
403,1.1301428,0.14611715,0.11448856
404,1.0847801,0.9337985,0.46260202
405,0.16675304,0.8198648,0.8309852
406,1.0341662,0.9734087,0.4848679
407,0.97166634,0.99235106,0.5052659
408,1.0084513,0.9538917,0.48609835
409,1.0517424,0.9446719,0.4731843
410,0.21177888,1.633166,0.8852113
411,0.38195398,0.37574062,0.49589983
412,0.9643338,1.17603,0.5494534
413,0.9126313,0.9166751,0.5011053
414,0.17302254,0.7818026,0.8187914
415,0.918155,0.85639995,0.48259985
416,1.4150292,1.1897601,0.45675868
417,0.8916418,0.8268549,0.48115012
418,0.95763266,0.8194626,0.46112472
419,0.25112003,0.45617208,0.64495575
420,0.9452234,1.0032591,0.5148925
421,1.0202787,0.9124031,0.47209173
422,0.846377,0.9651749,0.532789
423,0.8145795,0.8407168,0.50789505
424,1.8147928,0.2623968,0.126323
425,1.0614185,0.18200384,0.1463733
426,0.8981508,0.9082688,0.5028006
427,1.6014937,0.21840298,0.12000845
428,0.9404751,0.96146,0.5055167
429,1.7065969,0.2305349,0.11900837
430,1.0239258,1.1489184,0.52876246
431,0.82620656,0.8496048,0.5069812
432,0.89047956,0.899945,0.50264335
433,1.0346047,1.149241,0.5262465
434,1.0579275,0.9884432,0.48302254
435,0.68793595,0.76010734,0.5249203
436,0.9503274,0.9353091,0.4960177
437,0.14755656,1.2304158,0.89291763
438,0.927184,1.0225488,0.52445585
439,0.92714804,0.8852229,0.4884336
440,0.8278067,1.377528,0.62463444
441,0.8217842,1.199826,0.59350014
442,1.0203104,1.0862144,0.5156428
443,0.94107544,1.1632785,0.552796
444,0.92748016,0.7209673,0.4373614
445,0.85170436,0.8602267,0.5024891
446,0.9579169,1.1193999,0.5388682
447,0.9102144,0.9048121,0.4985118
448,0.9288382,0.8343115,0.47319376
449,0.10606881,0.0695151,0.39590815
450,1.0339984,1.0761966,0.5099986
451,1.0030658,0.9216975,0.47886276
452,0.99601644,1.0708021,0.518092
453,0.9542204,1.1625552,0.5492104
454,0.8987101,1.0509601,0.5390451
455,0.17112932,0.6942961,0.80225986
456,0.17494778,0.7802448,0.81684554
457,1.2967618,1.1258981,0.46473634
458,0.8763909,0.93353224,0.5157856
459,1.6002822,0.26486903,0.14200942
460,0.9829186,0.9619048,0.4945975
461,0.35698974,1.8204299,0.8360492
462,0.09323059,0.22557062,0.7075588
463,0.9130987,1.2234644,0.572632
464,0.6272163,0.7236713,0.5357006
465,1.7834765,0.25669578,0.12582064
466,0.8289416,1.1700884,0.5853281
467,0.93689716,0.9084602,0.492295
468,0.993634,1.0203805,0.5066401
469,0.7443441,1.055694,0.58648425
470,0.7928774,0.8733826,0.52415746
471,0.23641706,0.52141756,0.6880361
472,0.9520331,0.94991237,0.4994425
473,1.0720748,1.0503366,0.49487892
474,0.13154949,0.28085056,0.68101484
475,0.9291178,0.9913235,0.51619565
476,0.22525911,1.5090036,0.8701125
477,1.014995,0.9961685,0.49531952
478,0.9114875,0.89960515,0.49671957
479,1.1005262,0.9338521,0.4590356
480,0.8985988,0.9103207,0.50324005
481,0.7712395,1.082679,0.5839949
482,1.0249816,1.1287454,0.52408934
483,0.22548522,1.7129258,0.8836752
484,0.08854813,0.10136059,0.53373325
485,1.084992,1.079303,0.4986857
486,0.9256904,0.99898684,0.51904124
487,0.9896571,1.0324392,0.51057863
488,1.0395799,1.2225248,0.5404369
489,0.9676869,0.8728809,0.47424543
490,0.775812,0.97621447,0.5571916
491,0.9163483,1.0024164,0.52242804
492,0.18222353,0.80324435,0.8150893
493,0.8169953,0.8132143,0.4988403
494,1.0586245,1.1787397,0.52684295
495,0.3045002,1.9725592,0.86627483
496,1.2335006,0.25282967,0.1701033
497,0.9169017,0.8180811,0.47152117
498,0.36325353,1.9472882,0.8427843
499,0.11341987,0.1727505,0.60366315
500,0.06492242,0.20100537,0.75586444
501,0.95744485,0.942875,0.4961665
502,0.049993258,0.05196022,0.50964636
503,0.9242352,0.946559,0.50596637
504,0.8607174,0.8397627,0.49383858
505,0.21108596,0.6175673,0.7452662
506,0.16944718,0.8215267,0.8290094
507,0.84443927,0.84739435,0.5008733
508,0.8427484,0.991893,0.5406468
509,0.19378147,1.247169,0.8655183
510,1.0846612,1.1165868,0.5072517
511,0.057100065,0.8291032,0.93556774
512,0.8563685,0.8123414,0.48680803
513,0.84301466,0.88301855,0.5115884
514,0.87620294,0.8837911,0.5021557
515,0.26749095,1.7576303,0.86791366
516,0.159398,1.4614403,0.9016571
517,0.75416815,0.7482704,0.49803728
518,0.9786948,0.907478,0.48112133
519,0.98235154,0.97920233,0.49919727
520,0.80993754,0.80253494,0.49770457
521,1.2158713,1.1569227,0.4875782
522,1.1799462,0.93519986,0.4421443
523,0.054599095,0.0777619,0.5874986
524,1.6762244,0.2189708,0.115539975
525,0.8537716,0.7848877,0.4789816
526,0.87831265,0.9817357,0.5278012
527,0.1964641,0.11604953,0.37134227
528,0.687445,0.8943773,0.5654095
529,0.9277691,0.88638216,0.4885933
530,0.09372552,0.08719202,0.48194346
531,0.24121019,0.26344714,0.5220317
532,1.5358057,0.7586342,0.3306403
533,0.84926844,0.89046425,0.5118397
534,0.6409291,0.7990084,0.554891
535,0.14697789,0.7558106,0.83719563
536,0.18638374,0.6009378,0.7632686
537,0.8604453,0.83189225,0.49156404
538,1.5601279,0.18110569,0.10400999
539,0.22284381,1.4535997,0.8670735
540,0.17906828,0.8970338,0.8335954
541,1.0077837,1.0590909,0.5124118
542,0.14805958,0.30218652,0.67115855
543,0.98145705,0.84325767,0.46213126
544,0.061476387,0.060018912,0.49400192
545,0.9993226,1.021339,0.50544786
546,0.88205385,0.81392014,0.47991312
547,0.8527814,0.8981672,0.5129603
548,1.3926108,0.19233526,0.1213513
549,0.64762866,0.7705467,0.5433367
550,0.20217358,1.472101,0.87924707
551,0.058261886,0.078216285,0.57310474
552,0.82632196,0.88899523,0.5182687
553,0.7622788,1.3295833,0.63559794
554,1.275424,0.20512934,0.1385491
555,0.7979997,0.8388501,0.51247835
556,1.2865589,1.0348659,0.4457891
557,0.97832245,0.97403294,0.49890146
558,0.9582551,0.9936155,0.50905806
559,1.1578895,1.1078969,0.48896796
560,1.8497291,0.31727907,0.14641342
561,1.118206,1.2819167,0.5341047
562,0.94822806,0.9632132,0.50391984
563,0.23902643,1.6727974,0.87497467
564,0.9423497,1.0143142,0.5183896
565,0.9977471,0.96740127,0.49227896
566,0.813992,0.94208974,0.53647256
567,1.1465923,1.1719763,0.50547403
568,0.05907034,0.08856814,0.59989876
569,0.9608002,1.2372607,0.5628873
570,0.9820036,1.0405797,0.51448053
571,0.92748886,0.94032633,0.5034365
572,0.9231813,0.7637081,0.45273158
573,1.1229708,1.1784302,0.512049
574,1.7114726,0.5343815,0.23794132
575,0.87298405,0.7268953,0.45434383
576,0.16826168,1.1574057,0.873074
577,1.1166028,1.261578,0.53048027
578,0.7341363,0.8514974,0.53700763
579,0.0984619,0.05438979,0.3558337
580,1.8087971,0.23343827,0.11430527
581,0.95770544,1.0272818,0.5175256
582,1.132755,1.058385,0.48302934
583,1.0527313,0.9652558,0.47832608
584,0.81846124,0.14150049,0.14740223
585,1.6231402,0.42433032,0.20724611
586,0.17605646,0.08619434,0.32867143
587,0.8988364,0.92501163,0.50717586
588,0.27866808,2.0598042,0.88083327
589,1.8122793,0.57319283,0.24028485
590,0.91219413,0.9444926,0.50869787
591,0.06815657,0.16089322,0.70243776
592,1.0674134,1.2049271,0.5302582
593,0.937795,0.79611635,0.4591448
594,0.847518,1.0304546,0.5487059
595,0.8136207,0.81372917,0.5000333
596,0.24966143,1.8947443,0.8835755
597,0.8341998,0.97169036,0.5380673
598,0.97031957,1.0449349,0.5185126
599,0.17926693,1.2568821,0.87517524
600,0.83504665,0.949628,0.53210145
601,0.98206836,1.0124215,0.50760925
602,0.9686,1.047501,0.5195677
603,0.8943124,0.9032112,0.5024753
604,0.1198879,0.093042314,0.43696153
605,1.5656272,0.7618476,0.32732797
606,0.746401,0.8757439,0.5398679
607,0.7850984,0.75817746,0.491278
608,0.1950173,0.94506866,0.8289451
609,0.96219134,0.9620691,0.49996826
610,0.87882715,1.0865275,0.5528404
611,0.726985,0.8010632,0.5242395
612,0.056093395,0.11706728,0.6760616
613,0.8571279,0.65229845,0.4321499
614,0.8691927,0.8288373,0.48811698
615,0.70357,0.7634611,0.5204123
616,0.9428109,0.9727641,0.5078183
617,0.13662675,0.89454883,0.8675039
618,1.1633601,1.046333,0.47351962
619,0.8273574,0.17775656,0.17685215
620,1.8318464,0.23739137,0.11472407
621,0.06829245,0.10126885,0.5972404
622,1.6179358,0.23980874,0.12908597
623,0.96203065,1.1326889,0.54073536
624,1.1523793,0.98547333,0.4609641
625,0.81563336,1.0131875,0.55401134
626,0.9965813,0.95359063,0.48897773
627,0.9081029,0.94546956,0.5100796
628,1.041431,0.99088216,0.48756373
629,1.1860291,1.111599,0.48380286
630,0.15621592,0.81247354,0.8387348
631,0.8242618,1.0938376,0.5702716
632,0.7529885,0.60560524,0.4457589
633,0.9386798,0.98399943,0.51178557
634,1.0865623,1.0816987,0.49887842
635,0.95254403,1.1887547,0.55515593
636,1.0429498,0.091749035,0.080857605
637,1.4220401,0.21434012,0.1309843
638,1.0092006,0.93337536,0.48048332
639,1.0054426,0.99635154,0.49772927
640,0.19550753,1.4267497,0.87948424
641,0.8339639,0.8162801,0.49464208
642,0.8870142,0.91755474,0.508462
643,1.1472292,1.0685933,0.48225582
644,0.9440928,1.0482125,0.5261305
645,1.1036022,1.217617,0.52455926
646,1.0549246,1.0069795,0.4883736
647,1.1126211,1.0382102,0.48270184
648,0.9510435,0.76589346,0.4460813
649,0.81754214,0.8676774,0.514875
650,0.69974387,0.71771246,0.5063383
651,0.68814397,0.7436793,0.5193932
652,0.9204872,0.92340463,0.5007911
653,0.053100467,0.064649746,0.54904145
654,1.9183631,0.4417724,0.18718095
655,0.8780961,0.8649657,0.49623352
656,0.95117784,0.9586676,0.5019608
657,0.09656636,0.18429723,0.6561806
658,1.1621946,1.2138948,0.5108792
659,0.63922775,0.16527921,0.20544161
660,0.9308896,0.99403983,0.51640326
661,0.8746885,0.86328065,0.49671805
662,1.1873497,1.0698586,0.47397423
663,0.85664326,0.97258276,0.53169084
664,0.9836204,0.9010213,0.47808626
665,2.0072901,0.333644,0.14252602
666,0.72393316,0.7542536,0.51025593
667,1.5089246,0.14084946,0.085374996
668,0.797565,0.5866491,0.42381385
669,0.942719,0.89775187,0.48778382
670,1.0462174,0.9700454,0.4811106
671,0.8411963,1.0317682,0.5508744
672,1.030365,0.97534955,0.48628536
673,0.9319984,1.1375194,0.54965436
674,0.19653429,0.5269199,0.728339
675,0.9531395,0.8900046,0.48287305
676,0.93698376,0.83341515,0.47074994
677,1.076229,1.1339748,0.5130635
678,0.057243083,0.08080089,0.5853272
679,1.2907894,1.2446378,0.4908987
680,0.9582312,0.9312037,0.49284774
681,1.7508906,0.41524112,0.19169708
682,0.82576954,0.9319298,0.53019863
683,0.81263524,0.7536608,0.4811739
684,1.0792977,0.9630221,0.47153345
685,0.26954725,1.8639915,0.8736619
686,0.9002221,0.7097686,0.4408526
687,0.23066169,1.4982121,0.8665827
688,0.8842307,0.68219984,0.43551233
689,0.96478707,0.9405906,0.4936505
690,0.96381193,1.0311377,0.5168741
691,1.4794008,0.27641088,0.15742627
692,0.68683845,0.88188046,0.56216604
693,0.07626967,0.20095342,0.72487974
694,0.45187742,0.57504714,0.55997014
695,0.82588035,0.67215306,0.4486903
696,1.7680111,0.33660248,0.15993553
697,1.0893291,0.7399466,0.4045025
698,0.15626603,1.7001753,0.915825
699,2.1929696,0.16308911,0.06922116
700,0.92577165,0.9458645,0.5053677
